CACODE,population_exclude_foreign_worker_2016,population_exclude_foreign_worker_lte_age15_2016,population_exclude_foreign_worker_lte_age20_2016,no_of_voters,no_of_voted_voters,total_votes,candi_1,candi_2,candi_3,candi_4,candi_5,candi_6
R28,16300,5147,4408,"9,081",5828,3497,2391,1106,,,,
R29,16455,3897,3897,"10,072",2731,5738,3938,33,1767,,,
R30,15194,5920,5163,"11,455",5170,5757,3027,2730,,,,
R31,15065,3952,3200,"5,424",5204,2688,1567,1121,,,,
R32,16096,4900,4122,"10,534",6524,5118,1442,888,1612,1176,,
R33,17080,5114,4652,"13,212",6401,5092,3021,2071,,,,
R34,19722,5390,4829,"15,302",5683,6446,2706,3740,,,,
R35,20416,3949,3949,"11,732",0,6304,3657,2647,,,,
R36,18226,3743,3743,"10,859",5042,5593,2964,2629,,,,
R37,17280,5506,4920,"9,486",4968,0,,,,,,
R38,16138,3077,3077,"8,332",4116,4993,1490,2352,1151,,,
S01,17940,4043,4043,"10,162",4127,4890,1028,2034,1828,,,
S02,12936,5306,4837,"8,983",5832,4078,2525,1553,,,,
K01,17401,7330,6603,"9,687",0,4070,2931,1139,,,,
K02,19830,5280,5280,"10,790",3390,5797,75,1833,677,3212,,
K03,13461,7030,6468,"7,154",4919,3806,1589,2217,,,,
K04,13251,7239,6575,"8,320",3420,4467,3098,1369,,,,
K05,20321,2434,2434,"8,327",0,3812,2195,1617,,,,
K06,21344,3097,3097,"9,353",5757,4110,1790,2320,,,,
K07,22017,2837,2837,"11,691",4357,5760,2907,2853,,,,
K08,16066,7059,6355,"9,311",4649,4545,2714,1831,,,,
K09,19789,2820,1963,"11,151",5159,6115,2974,3141,,,,
K10,22460,2376,2376,"9,442",3901,4440,2981,1459,,,,
K11,23284,4760,3876,"9,459",4843,4881,2884,1997,,,,
K12,18140,2954,2954,"10,404",3840,4925,3301,1624,,,,
K13,15932,4473,3776,"9,033",3469,3100,263,707,2130,,,
K14,15511,3479,2646,"7,734",4175,0,,,,,,
K15,15453,6309,5662,"8,362",4962,4796,2986,580,1230,,,
K16,23751,4617,3747,"9,673",4320,5330,2629,2701,,,,
K17,13774,7215,6546,"8,131",3412,0,,,,,,
K18,17532,4137,3240,"10,544",3254,5303,3157,2146,,,,
L01,19718,2386,1650,"11,981",2462,5688,3021,2667,,,,
L02,18426,4977,4977,"9,978",5375,0,,,,,,
L03,14664,5190,4738,"9,378",5952,4439,1311,655,54,2419,,
L04,17249,4306,3792,"9,698",4668,4045,3467,578,,,,
L05,18372,3147,2331,"10,541",3195,4496,3223,1273,,,,
L06,13895,5647,5284,"9,057",3483,0,,,,,,
L07,15785,6155,5537,"9,822",0,3335,990,2345,,,,
L08,16713,1720,1720,"9,377",3490,4868,1654,3214,,,,
L09,13829,5016,4530,"8,842",0,4985,165,1838,2814,168,,
L10,17313,3533,3178,"11,821",4233,5446,233,2283,282,2648,,
L11,12778,5270,5100,"9,794",2508,4380,2359,1467,554,,,
T01,19216,5046,4236,"7,034",3788,3761,1895,653,727,486,,
T02,19974,3659,3659,"8,651",4003,3961,900,3061,,,,
T03,17037,3285,3285,"10,917",4528,4470,2001,2469,,,,
T04,23188,2922,2432,"7,494",3863,3826,1929,1897,,,,
T05,19323,2701,2040,"10,484",4161,4078,1917,2161,,,,
T06,17887,3218,2683,"4,394",2167,2149,860,1176,113,,,
T07,6211,5775,5587,"3,772",0,0,,,,,,
T08,5600,4990,4833,"2,404",0,0,,,,,,
T09,11369,7202,6690,"6,189",2832,2785,460,838,1487,,,
T10,8992,8095,7803,"5,714",2217,2161,1681,480,,,,
