id,year,CACODE,candi_number,name_chi,alias_chi,name_eng,alias_eng,gender,age,estimated_birth,occupation,win_or_not,uncontested_or_not,political_affiliation,camp,votes,percentage
1957_張葵歡,1999,C05,,張葵歡,,,,女,42,1957,幼稚園教師,N,,民建聯,建,901,30.2
1959_謝智勇,1999,C06,,謝智勇,,,,男,40,1959,業務副經理,N,,民建聯,建,1433,40.4
1959_陳添勝,1999,C06,,陳添勝,,,,男,40,1959,公司董事,Y,,民權黨,泛,2072,58.5
1962_古桂耀,1999,C07,,古桂耀,,,,男,37,1962,技術員,N,,民主黨,泛,1330,39
1958_鄧禮明,1999,C07,,鄧禮明,,,,男,41,1958,公司董事／輔導工作者,Y,,民建聯,建,2054,60.3
1959_梁雪冰,1999,C08,,梁雪冰,梁安琪,,,女,40,1959,藝術工作者,Y,,民主黨,泛,1481,59.8
1959_關光,1999,C08,,關光,,,,男,40,1959,行政經理,N,,民建聯,建,968,39.1
1953_李惠照,1999,C09,,李惠照,,,,男,46,1953,物業管理行政人員,N,,民主黨,泛,910,33.1
1950_陳靄群,1999,C09,,陳靄群,,,,女,49,1950,社團行政人員,Y,,民建聯,建,1824,66.4
1950_陳耀德,1999,C10,,陳耀德,,,,男,49,1950,教師,Y,,民主黨,泛,1727,53.1
1943_林偉光,1999,C10,,林偉光,,,,男,56,1943,議員助理,N,,民建聯,建,1507,46.4
1962_楊健德,1999,C11,,楊健德,,,,男,37,1962,印刷業報價員,N,,民主黨,泛,864,23.5
1950_龔栢祥,1999,C11,,龔栢祥,,,,男,49,1950,旅行社總監,Y,,民建聯,建,2782,75.8
1948_黎志強,1999,C12,,黎志強,,,,男,51,1948,全職議員,Y,,民主黨,泛,1636,52.7
1959_馬德成,1999,C12,,馬德成,,,,男,40,1959,地產公司經理,N,,民建聯,建,1446,46.6
1963_甄永樂,1999,C13,,甄永樂,,,,男,36,1963,環境顧問,N,,民主黨,泛,488,22.3
1954_黃建彬,1999,C13,,黃建彬,,,,男,45,1954,公司執行董事,Y,,民建聯,建,1065,48.7
1935_阮其江,1999,C13,,阮其江,,,,男,64,1935,全職區議員,N,,港進聯,建,622,28.4
1945_陳炳煥,1999,C14,,陳炳煥,,,,男,54,1945,律師／公證人,Y,Uncontested,,其他,,
1941_葉就生,1999,C15,,葉就生,,,,男,58,1941,文員,Y,,,其他,1807,68.3
1965_劉玉芳,1999,C15,,劉玉芳,,,,女,34,1965,商人,N,,,其他,819,30.9
1948_羅榮焜,1999,C16,,羅榮焜,,,,男,51,1948,報幕員／培訓導師,Y,,,其他,897,44.9
1957_黃桂林,1999,C16,,黃桂林,,,,男,42,1957,專業培訓導師,N,,,其他,745,37.3
1951_成偉邦,1999,C16,,成偉邦,,,,男,48,1951,公司董事長,N,,中自民,泛,337,16.8
1955_周潔冰,1999,C17,,周潔冰,,,,女,44,1955,全職議員,Y,,,建,1383,69
1959_關國傑,1999,C17,,關國傑,,,,男,40,1959,業務經理,N,,,建,604,30.1
1958_朱奉慈,1999,C18,,朱奉慈,,,,男,41,1958,大律師,N,,,其他,461,19.5
1966_許清安,1999,C18,,許清安,,,,男,33,1966,執業會計師,Y,,,其他,995,42
1973_蕭健恒,1999,C18,,蕭健恒,,,,男,26,1973,業務拓展經理,N,,民主黨,泛,896,37.9
1949_王國興,1999,C19,,王國興,,,,男,50,1949,行政人員／作家,Y,Uncontested,民建聯,建,,
1950_朱漢華,1999,C20,,朱漢華,,,,男,49,1950,全職區議員,Y,Uncontested,民建聯,建,,
1951_石貴春,1999,C21,,石貴春,,,,男,48,1951,工程顧問,N,,,建,591,25.8
1948_顏尊廉,1999,C21,,顏尊廉,,,,男,51,1948,旅行社總監,Y,,民建聯,建,1677,73.2
1950_蔡素玉,1999,C22,,蔡素玉,,,,女,49,1950,商人,Y,Uncontested,港進聯,建,,
1959_鄭志成,1999,C23,,鄭志成,,,,男,40,1959,公司董事,N,,,其他,800,31.2
1974_蔡明基,1999,C23,,蔡明基,,,,男,25,1974,保險經理,N,,,建,561,21.9
1945_李汝大,1999,C23,,李汝大,,,,男,54,1945,理大院務主任,Y,,前綫,泛,1173,45.8
1964_陳莉蓮,1999,C24,,陳莉蓮,,,,女,35,1964,公司會計文員,N,,,其他,684,32.5
1959_陳得偉,1999,C24,,陳得偉,,,,男,40,1959,公司董事,Y,,民主會,泛,1392,66.3
1952_江子榮,1999,C25,,江子榮,,,,男,47,1952,執業會計師,Y,Uncontested,自由黨,建,,
1952_關樂平,1999,C26,,關樂平,,,,男,47,1952,測量師行董事,N,,,其他,671,21.2
1952_梁淑楨,1999,C26,,梁淑楨,,,,女,47,1952,社區發展主任,Y,,民主黨,泛,1404,44.4
1962_施天賜,1999,C26,,施天賜,,,,男,37,1962,銀行高級主任,N,,民建聯,建,1075,34
1945_趙志雄,1999,C27,,趙志雄,,,,男,54,1945,商人,N,,,其他,235,10.7
1953_麥順邦,1999,C27,,麥順邦,,,,男,46,1953,公司董事,Y,,,其他,1940,88.3
1952_梁兆新,1999,C28,,梁兆新,,,,男,47,1952,市場研究總監,Y,,,其他,1479,68.5
1964_黃宏泰,1999,C28,,黃宏泰,,,,男,35,1964,執業會計師,N,,港進聯,建,653,30.2
1961_王國有,1999,C29,,王國有,,,,男,38,1961,資訊系統顧問,N,,,其他,733,20.4
1959_黃月梅,1999,C29,,黃月梅,,,,女,40,1959,社區幹事,Y,,民主黨,泛,1521,42.3
1978_黎永華,1999,C29,,黎永華,,,,男,21,1978,助理地區統籌主任,N,,民建聯,建,1323,36.8
1949_江澤濠,1999,C30,,江澤濠,,,,男,50,1949,經理,Y,Uncontested,,其他,,
1969_何偉明,1999,C31,,何偉明,,,,男,30,1969,中醫藥從業員,N,,民主黨,泛,807,38.3
1947_許嘉灝,1999,C31,,許嘉灝,,,,男,52,1947,幼稚園校董,Y,,民建聯,建,1281,60.9
1951_呂志文,1999,C32,,呂志文,,,,男,48,1951,保養工程監督,N,,民主黨,泛,997,42.1
1948_趙資強,1999,C32,,趙資強,,,,男,51,1948,工會工作者,Y,,民建聯,建,1355,57.3
1938_凌育群,1999,C33,,凌育群,,,,男,61,1938,退休教師,N,,民主黨,泛,1046,38.5
1940_趙承基,1999,C33,,趙承基,,,,男,59,1940,銀行經理,Y,,民建聯,建,1652,60.8
1956_曾健成,1999,C34,,曾健成,,,,男,43,1956,全職區議員,N,,民主黨,泛,1042,44.8
1957_陳達強,1999,C34,,陳達強,,,,男,42,1957,助理工程師,Y,,民建聯,建,1271,54.7
1950_鍾少琼,1999,C35,,鍾少琼,,,,女,49,1950,美容顧問,N,,,其他,283,13.4
1957_梁耀雄,1999,C35,,梁耀雄,,,,男,42,1957,中學教師,Y,,,其他,1792,85.4
1974_鄧徐中,1999,C36,,鄧徐中,,,,男,25,1974,組織幹事,N,,民主黨,泛,1253,34.5
1957_鍾樹根,1999,C36,,鍾樹根,,,,男,42,1957,咨詢科技顧問,Y,,民建聯,建,2360,65.1
1961_楊浩然,1999,C37,,楊浩然,,,,男,38,1961,律師,N,,民主黨,泛,806,25.6
1962_黎鴻光,1999,C37,,黎鴻光,,,,男,37,1962,倉務經理,N,,民建聯,建,638,20.3
1966_林翠蓮,1999,C37,,林翠蓮,,,,女,33,1966,行政人員,Y,,自由黨,建,1674,53.3
1941_黃文傑,1999,D01,,黃文傑,,,,男,58,1941,商人,Y,Uncontested,自由黨,建,,
1938_梁柏洪,1999,D02,,梁柏洪,,,,男,61,1938,交通服務,N,,,建,425,10.7
1958_林玉珍,1999,D02,,林玉珍,,,,女,41,1958,藝術學院院長,Y,,,建,2306,58.2
1959_梁國華,1999,D02,,梁國華,,,,男,40,1959,電腦程序支援部主管,N,,民主黨,泛,1204,30.4
1961_黃敬祥,1999,D03,,黃敬祥,,,,男,38,1961,校監,Y,Uncontested,,其他,,
1944_朱俊賢,1999,D04,,朱俊賢,,,,男,55,1944,商人,Y,Uncontested,,其他,,
1952_黃志毅,1999,D05,,黃志毅,,,,男,47,1952,全職區議員,Y,Uncontested,,其他,,
1951_林啟暉,1999,D06,,林啟暉,,,,男,48,1951,策劃顧問,Y,,,建,950,55.4
1953_車宛諭,1999,D06,,車宛諭,,,,女,46,1953,資深壽險顧問,N,,民主黨,泛,745,43.4
1954_蘇悲鴻,1999,D07,,蘇悲鴻,,,,男,45,1954,社工,Y,Uncontested,,其他,,
1950_麥謝巧玲,1999,D08,,麥謝巧玲,謝巧玲,,,女,49,1950,校長,N,,,建,1483,30.9
1941_洪天理,1999,D08,,洪天理,,,,男,58,1941,中心輔導主任,Y,,,其他,2204,45.9
1960_楊小壁,1999,D08,,楊小壁,,,,女,39,1960,公司董事,N,,民主黨,泛,1087,22.6
1953_歐立成,1999,D09,,歐立成,,,,男,46,1953,醫院物資管理,N,,,其他,1349,48.2
1962_黃琼芳,1999,D09,,黃琼芳,,,,女,37,1962,醫務行政人員,Y,,民主黨,泛,1438,51.4
1940_黃震遐,1999,D10,,黃震遐,,,,男,59,1940,醫生,Y,,民主黨,泛,1618,61.1
1954_麥志仁,1999,D10,,麥志仁,,,,男,45,1954,議員辦事處總幹事,N,,民建聯,建,1003,37.9
1937_高譚根,1999,D11,,高譚根,,,,男,62,1937,退休校長,Y,Uncontested,,建,,
1962_朱慶虹,1999,D12,,朱慶虹,,,,男,37,1962,執行董事／大學課程顧問,Y,,,建,1885,69.3
1950_鄺錦華,1999,D12,,鄺錦華,,,,男,49,1950,電視公司經理,N,,民主黨,泛,816,30
1934_苗華振,1999,D13,,苗華振,,,,男,65,1934,全職區議員,Y,Uncontested,民建聯,建,,
1952_石國強,1999,D14,,石國強,,,,男,47,1952,公司決策人,N,,,其他,994,33.9
1960_卜坤乾,1999,D14,,卜坤乾,,,,男,39,1960,的士司機,N,,,其他,833,28.4
1939_陳思誦,1999,D14,,陳思誦,,,,男,60,1939,商人,Y,,民建聯,建,1067,36.4
1967_陳景豪,1999,D15,,陳景豪,,,,男,32,1967,電訊公司經理,N,,民建聯,建,488,48.7
1948_楊孝華,1999,D15,,楊孝華,,,,男,51,1948,總經理,Y,,自由黨,建,507,50.6
1936_陳若瑟,1999,D16,,陳若瑟,,,,男,63,1936,校監,Y,Uncontested,,其他,,
1963_王錦泉,1999,D17,,王錦泉,,,,男,36,1963,商人,N,,,建,772,33.5
1941_李佩英,1999,D17,,李佩英,陳李佩英,,,女,58,1941,商人／經理,Y,,,建,1093,47.5
1953_謝志興,1999,D17,,謝志興,,,,男,46,1953,經理,N,,民主黨,泛,422,18.3
1948_李景華,1999,E01,,李景華,,,,男,51,1948,僱員福利顧問,Y,,,其他,899,56.1
1957_麥宜全,1999,E01,,麥宜全,,,,男,42,1957,律師／會計師,N,,民建聯,建,675,42.1
1951_葉國忠,1999,E02,,葉國忠,,,,男,48,1951,行政經理,Y,Uncontested,民建聯,建,,
1969_陳少棠,1999,E03,,陳少棠,,,,男,30,1969,商人,N,,民協,泛,626,35.1
1952_劉志榮,1999,E03,,劉志榮,,,,男,47,1952,文化演藝界,Y,,民建聯,建,1142,64.1
1958_吳寶珊,1999,E04,,吳寶珊,,,,女,41,1958,行政秘書,Y,Uncontested,民協,泛,,
1943_陳慧,1999,E05,,陳慧,餘慧,,,男,56,1943,社團總政,N,,,其他,316,10.7
